PostcodeID;PostCodePK;PostCode;PostcodeNummers;PostcodeLetters;Straat;MinNummer;MaxNummer;Plaats;Gemeente;Provincie
5156;5035GC_1;5035GC;5035;GC;Slotenstraat;1;1;Tilburg;Tilburg;Noord-Brabant
5157;4205PE_1;4205PE;4205;PE;Schutskooi;1;15;Gorinchem;Gorinchem;Zuid-Holland
5158;4702CB_41;4702CB;4702;CB;Begoniastraat;41;69;Roosendaal;Roosendaal;Noord-Brabant
5159;5632EJ_103;5632EJ;5632;EJ;Mercuriuslaan;103;143;Eindhoven;Eindhoven;Noord-Brabant
5160;9463MA_1;9463MA;9463;MA;Haverlanden;1;31;Eext;Aa en Hunze;Drenthe
5161;3371SK_51;3371SK;3371;SK;Maasstraat;51;113;Hardinxveld-Giessendam;Hardinxveld-Giessendam;Zuid-Holland
5162;5469VM_1;5469VM;5469;VM;Muldersveld;1;25;Erp;Veghel;Noord-Brabant
5163;1087DE_207;1087DE;1087;DE;Erich Salomonstraat;207;223;Amsterdam;Amsterdam;Noord-Holland
5164;1749JD_1;1749JD;1749;JD;Pastoorsgroet;1;20;Warmenhuizen;Schagen;Noord-Holland
5165;3131WP_5;3131WP;3131;WP;Joubertstraat;5;30;Vlaardingen;Vlaardingen;Zuid-Holland
5166;1951GP_161;1951GP;1951;GP;Grote Hout- of Koningsweg;161;195;Velsen-Noord;Velsen;Noord-Holland
5167;1068GJ_195;1068GJ;1068;GJ;Martini van Geffenstraat;195;229;Amsterdam;Amsterdam;Noord-Holland
5168;4201AC_2;4201AC;4201;AC;Burgstraat;2;30;Gorinchem;Gorinchem;Zuid-Holland
5169;1055MN_238;1055MN;1055;MN;Admiraal De Ruijterweg;238;250;Amsterdam;Amsterdam;Noord-Holland
5170;1102TZ_114;1102TZ;1102;TZ;Barbusselaan;114;206;Amsterdam Zuidoost;Amsterdam;Noord-Holland
5171;9641LA_13;9641LA;9641;LA;Boven Westerdiep;13;43;Veendam;Veendam;Groningen
5172;6372GB_2;6372GB;6372;GB;Joes Jongenstraat;2;38;Landgraaf;Landgraaf;Limburg
5173;9164MB_1;9164MB;9164;MB;Grootvaarwaterweg;1;1;Buren;Ameland;Friesland
5174;3401TJ_2;3401TJ;3401;TJ;Hoepelmaker;2;32;IJsselstein;IJsselstein;Utrecht
5175;8043JG_1;8043JG;8043;JG;Scholeksterstraat;1;11;Zwolle;Zwolle;Overijssel
5176;2211ZR_2;2211ZR;2211;ZR;Horatius;2;20;Noordwijkerhout;Noordwijkerhout;Zuid-Holland
5177;4849PC_1;4849PC;4849;PC;De Wildert;1;16;Dorst;Oosterhout;Noord-Brabant
5178;2135EP_1;2135EP;2135;EP;Hamelenburg;1;63;Hoofddorp;Haarlemmermeer;Noord-Holland
5179;6825AK_1;6825AK;6825;AK;Hofwijkstraat;1;39;Arnhem;Arnhem;Gelderland
5180;8401MK_1;8401MK;8401;MK;Sk++tsje;1;61;Gorredijk;Opsterland;Friesland
5181;5953JW_1;5953JW;5953;JW;Schellekensbeeksingel;1;19;Reuver;Beesel;Limburg
5182;8081RA_1;8081RA;8081;RA;Puttenerallee;1;5;Elburg;Elburg;Gelderland
5183;5975AG_4;5975AG;5975;AG;Molenstraat;4;42;Sevenum;Horst aan de Maas;Limburg
5184;5222AK_2;5222AK;5222;AK;Diezekade;2;2;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant
5185;1059AM_68;1059AM;1059;AM;Aalsmeerweg;68;84;Amsterdam;Amsterdam;Noord-Holland
5186;2254BD_2;2254BD;2254;BD;Burgemeester Van der Hoevenlaan;2;52;Voorschoten;Voorschoten;Zuid-Holland
5187;2771ED_1;2771ED;2771;ED;Julianaplein;1;33;Boskoop;Alphen aan den Rijn;Zuid-Holland
5188;1187NR_3;1187NR;1187;NR;Legmeerdijk;3;39;Amstelveen;Amstelveen;Noord-Holland
5189;1274CB_17;1274CB;1274;CB;Vrouwenzand;17;27;Huizen;Huizen;Noord-Holland
5190;1321GH_2;1321GH;1321;GH;Albert Helmanhof;2;16;Almere;Almere;Flevoland
